price,district,link,title,time
7 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-m-levoberezhnaya-ul-vifleemskaya-shlihtera-IDBj6nr.html#5f4869cfef;promoted,Сдам 2-х комнатную квартиру м Левобережная ул Вифлеемская (Шлихтера),Сегодня 09:45
8 000 грн.,"Киев, Оболонский",https://www.olx.ua/obyavlenie/super-sdaetsya-m-obolon-25-min-ezdy-klassnaya-2h-komnatnaya-kvartira-IDBhpcv.html#5f4869cfef;promoted,Супер! Сдается М.Оболонь 25 мин.езды .КЛАССНАЯ 2х комнатная квартира!,Сегодня 16:43
7 000 грн.,"Киев, Голосеевский",https://www.olx.ua/obyavlenie/sdam-2-h-komn-kvartiru-m-teremki-12-min-peshkom-IDBlkNe.html#5f4869cfef,Сдам 2-х комн. квартиру м.Теремки 12 мин. пешком!,Сегодня 19:42
7 500 грн.,"Киев, Оболонский",https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-kvartiru-v-kieve-IDBlhA9.html#5f4869cfef,Сдам 2х комнатную квартиру в Киеве,Сегодня 18:09
8 000 грн.,"Киев, Оболонский",https://www.olx.ua/obyavlenie/super-sdaetsya-m-obolon-25-min-ezdy-klassnaya-2h-komnatnaya-kvartira-IDBhpcv.html#5f4869cfef;promoted,Супер! Сдается М.Оболонь 25 мин.езды .КЛАССНАЯ 2х комнатная квартира!,Сегодня 16:43
7 000 грн.,"Киев, Соломенский",https://www.olx.ua/obyavlenie/novopolevaya-otradnyy-dvushka-IDBld6B.html#5f4869cfef,Новополевая Отрадный двушка,Сегодня 16:19
7 000 грн.,"Киев, Шевченковский",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDBlcZG.html#5f4869cfef,сдам квартиру,Сегодня 16:16
8 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/srochno-metro-levoberezhnaya-darnitsa-15-minut-peshkom-2-ka-za-8000-gr-IDB1UAC.html#5f4869cfef;promoted,"Срочно! Метро Левобережная, Дарница 15 минут пешком !2-ка за 8000 гр",Сегодня 15:33
8 000 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-vozle-metro-lesnaya-IDBfLqq.html#5f4869cfef;promoted,Сдам 2 ком квартиру возле метро Лесная,Сегодня 15:22
8 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-dvuhkomnatnuyu-kvartiru-na-kurbasa-vozle-skorostnogo-IDBcunf.html#5f4869cfef,"Сдам уютную двухкомнатную квартиру на Курбаса, возле скоростного",Сегодня 15:19
7 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/sdam-2yu-kvart-metro-svyatoshin-7-min-kolibris-skorostnoy-tramvay-IDBla2y.html#5f4869cfef,"Сдам 2ю кварт., метро Святошин 7 мин, Колибрис, скоростной трамвай!",Сегодня 15:13
8 000 грн.,"Киев, Дарницкий",https://www.olx.ua/obyavlenie/sdaetsya-dvuhkomnatnaya-kvartira-bez-mebeli-evroremont-darnitsa-IDBe52Y.html#5f4869cfef;promoted,"Сдается двухкомнатная квартира без мебели, евроремонт,Дарница",Сегодня 14:02
7 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/sdam-2k-kvartiru-bul-perova-do-m-darnitsa-ehat-15-min-IDy1NF0.html#5f4869cfef,"Сдам 2к квартиру, бул. Перова, до м.""Дарница"" ехать 15 мин",Сегодня 13:51
8 000 грн.,"Киев, Шевченковский",https://www.olx.ua/obyavlenie/arenda-dvuhkomnatnoy-kvartiry-IDBl579.html#5f4869cfef,Аренда двухкомнатной квартиры,Сегодня 13:33
7 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/sdam-2h-razd-voskresenka-ul-kibalchicha-s-pomesyachnoy-oplatoy-IDBl4RE.html#5f4869cfef,Сдам 2х.разд. Воскресенка ул.Кибальчича с помесячной оплатой,Сегодня 13:29
8 000 грн.,"Киев, Шевченковский",https://www.olx.ua/obyavlenie/srochno-2k-na-ul-artema-metro-lukyanovka-10min-maydan-nezavisimosti-15-IDBgjex.html#5f4869cfef,"Срочно 2к на ул.Артема,метро Лукьяновка 10мин,Майдан Независимости 15",Сегодня 13:25
8 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/srochno-sdaetsya-v-arendu-kvartira-borschagovke-IDBc10r.html#5f4869cfef,Срочно! сдается в аренду квартира Борщаговке,Сегодня 13:23
8 000 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/sdam-2h-kom-kvartiru-pervaya-sdacha-m-lesnaya-IDBl37Y.html#5f4869cfef,Сдам 2х ком.квартиру первая сдача м.Лесная,Сегодня 12:53
7 500 грн.,"Киев, Подольский",https://www.olx.ua/obyavlenie/sdaem-2-kom-kvartira-s-razdelnymi-komnatami-i-boylerom-na-vinogradare-IDBl28G.html#5f4869cfef,Сдаем 2 ком.квартира с раздельными комнатами и Бойлером на Виноградаре,Сегодня 12:36
8 000 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/arenda-2h-komnatnoy-prostornoy-kvartiry-IDBl1rZ.html#5f4869cfef,Аренда 2х комнатной просторной квартиры,Сегодня 12:16
8 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/zdam-v-dovgostrokovu-orendu-1-kmnatnu-kvartiru-u-m-kiv-kivo-svyato-IDhPlls.html#5f4869cfef,"Здам в довгострокову оренду 1-кімнатну квартиру у м.Києві ,Києво-Свято",Сегодня 12:04
7 000 грн.,"Киев, Печерский",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-vydubichi-korchevatoe-goloseevskiy-IDBkZpI.html#5f4869cfef,Сдам 2 ком.квартиру Выдубичи Корчеватое Голосеевский,Сегодня 11:35
8 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/2ka-bul-koltsova-skor-tramvay-m-svyatoshin-zhitomirskaya-IDB7UrA.html#5f4869cfef,"2ка.бул.Кольцова,скор.трамвай м.Святошин/Житомирская",Сегодня 11:01
7 800 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/uyutnaya-2-h-komnatnaya-pervaya-sdacha-dolgosrochno-IDAiWls.html#5f4869cfef;promoted,"Уютная 2-х комнатная, первая сдача, долгосрочно",Сегодня 10:46
8 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/razdelnaya-kvartira-borschagovka-kurbasa-metro-zhitomirskaya-10-minu-IDB7Zrk.html#5f4869cfef,"Раздельная квартира Борщаговка, Курбаса, метро Житомирская 10 мину",Сегодня 10:45
7 000 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/sdam-2-h-k-kv-semyam-s-det-metro-lesnaya-10min-ezdy-IDBkWxj.html#5f4869cfef,"СДАМ 2.х к.кв.СЕМЬЯМ С ДЕТ.метро Лесная,10мин.езды",Сегодня 10:02
8 000 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/treshka-nachalo-troeschiny-IDBkWbd.html#5f4869cfef,"Трешка ,начало Троещины",Сегодня 09:50
7 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-m-levoberezhnaya-ul-vifleemskaya-shlihtera-IDBj6nr.html#5f4869cfef;promoted,Сдам 2-х комнатную квартиру м Левобережная ул Вифлеемская (Шлихтера),Сегодня 09:45
7 000 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/sdam-dvuhkomnatnuyu-kvartiru-IDBeqQf.html#5f4869cfef,Сдам двухкомнатную квартиру,Сегодня 09:32
7 000 грн.,"Киев, Голосеевский",https://www.olx.ua/obyavlenie/teremki-2-ul-smolicha-6-2-hkomn-kv-ra-evroremont-IDBkU4T.html#5f4869cfef,"Теремки-2, ул.Смолича,6, 2-хкомн.кв-ра, евроремонт",Сегодня 09:26
8 000 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/metro-akademgordok-peshkom-10-min-razdelnaya-dvuhkomnatnaya-s-kapremonto-IDB8E5J.html#5f4869cfef,Метро Академгордок пешком 10 мин.Раздельная двухкомнатная с капремонто,Сегодня 09:24
7 500 грн.,"Киев, Голосеевский",https://www.olx.ua/obyavlenie/dvuhkomnatnaya-kvartira-v-5-minutah-ot-metro-IDBjG1c.html#5f4869cfef;promoted,Двухкомнатная квартира в 5 минутах от метро,Сегодня 09:18
7 000 грн.,"Киев, Днепровский",https://www.olx.ua/obyavlenie/2-k-bereznyaki-metro-osokorki-levoberezhnaya-ul-mikolaychuka-IDBgSmv.html#5f4869cfef,"2-К Березняки Метро Осокорки Левобережная ул.Миколайчука,",Сегодня 08:58
7 500 грн.,"Киев, Деснянский",https://www.olx.ua/obyavlenie/dvuh-komnatnaya-kvartira-drayzea-6a-IDBgSjo.html#5f4869cfef,"Двух  комнатная  квартира, Драйзеа 6а",Сегодня 08:56
8 000 грн.,"Киев, Дарницкий",https://www.olx.ua/obyavlenie/sdam-3k-bez-mebeli-metro-poznyaki-ul-urlovskaya-36-IDBgRTY.html#5f4869cfef,"Сдам 3К БЕЗ мебели,Метро Позняки.ул.Урловская,36",Сегодня 08:36
7 000 грн.,"Киев, Подольский",https://www.olx.ua/obyavlenie/sdam-2-kom-vinogradar-pereulok-kvitnevyy-5-IDBkSuw.html#5f4869cfef,Сдам 2-ком Виноградарь переулок Квитневый 5,Сегодня 07:55
7 500 грн.,"Киев, Соломенский",https://www.olx.ua/obyavlenie/sdam-2-k-na-kurskoy-metro-vokzalnaya-IDBkROG.html#5f4869cfef,Сдам 2-к. на Курской.Метро Вокзальная,Сегодня 05:27
8 000 грн.,"Киев, Дарницкий",https://www.olx.ua/obyavlenie/kvartira-v-arendu-IDA7mvg.html#5f4869cfef,Квартира в аренду.,Сегодня 01:27
time,district,price,title,link
Сегодня 15:33,"Киев, Днепровский",8 000 грн.,"Срочно! Метро Левобережная, Дарница 15 минут пешком !2-ка за 8000 гр",https://www.olx.ua/obyavlenie/srochno-metro-levoberezhnaya-darnitsa-15-minut-peshkom-2-ka-za-8000-gr-IDB1UAC.html#5f4869cfef;promoted
Сегодня 10:46,"Киев, Деснянский",7 800 грн.,"Уютная 2-х комнатная, первая сдача, долгосрочно",https://www.olx.ua/obyavlenie/uyutnaya-2-h-komnatnaya-pervaya-sdacha-dolgosrochno-IDAiWls.html#5f4869cfef;promoted
Сегодня 19:42,"Киев, Голосеевский",7 000 грн.,Сдам 2-х комн. квартиру м.Теремки 12 мин. пешком!,https://www.olx.ua/obyavlenie/sdam-2-h-komn-kvartiru-m-teremki-12-min-peshkom-IDBlkNe.html#5f4869cfef
Сегодня 18:09,"Киев, Оболонский",7 500 грн.,Сдам 2х комнатную квартиру в Киеве,https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-kvartiru-v-kieve-IDBlhA9.html#5f4869cfef
Сегодня 16:43,"Киев, Оболонский",8 000 грн.,Супер! Сдается М.Оболонь 25 мин.езды .КЛАССНАЯ 2х комнатная квартира!,https://www.olx.ua/obyavlenie/super-sdaetsya-m-obolon-25-min-ezdy-klassnaya-2h-komnatnaya-kvartira-IDBhpcv.html#5f4869cfef;promoted
Сегодня 16:19,"Киев, Соломенский",7 000 грн.,Новополевая Отрадный двушка,https://www.olx.ua/obyavlenie/novopolevaya-otradnyy-dvushka-IDBld6B.html#5f4869cfef
Сегодня 16:16,"Киев, Шевченковский",7 000 грн.,сдам квартиру,https://www.olx.ua/obyavlenie/sdam-kvartiru-IDBlcZG.html#5f4869cfef
Сегодня 15:33,"Киев, Днепровский",8 000 грн.,"Срочно! Метро Левобережная, Дарница 15 минут пешком !2-ка за 8000 гр",https://www.olx.ua/obyavlenie/srochno-metro-levoberezhnaya-darnitsa-15-minut-peshkom-2-ka-za-8000-gr-IDB1UAC.html#5f4869cfef;promoted
Сегодня 15:22,"Киев, Деснянский",8 000 грн.,Сдам 2 ком квартиру возле метро Лесная,https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-vozle-metro-lesnaya-IDBfLqq.html#5f4869cfef;promoted
Сегодня 15:19,"Киев, Святошинский",8 000 грн.,"Сдам уютную двухкомнатную квартиру на Курбаса, возле скоростного",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-dvuhkomnatnuyu-kvartiru-na-kurbasa-vozle-skorostnogo-IDBcunf.html#5f4869cfef
Сегодня 15:13,"Киев, Святошинский",7 000 грн.,"Сдам 2ю кварт., метро Святошин 7 мин, Колибрис, скоростной трамвай!",https://www.olx.ua/obyavlenie/sdam-2yu-kvart-metro-svyatoshin-7-min-kolibris-skorostnoy-tramvay-IDBla2y.html#5f4869cfef
Сегодня 14:02,"Киев, Дарницкий",8 000 грн.,"Сдается двухкомнатная квартира без мебели, евроремонт,Дарница",https://www.olx.ua/obyavlenie/sdaetsya-dvuhkomnatnaya-kvartira-bez-mebeli-evroremont-darnitsa-IDBe52Y.html#5f4869cfef;promoted
Сегодня 13:51,"Киев, Днепровский",7 000 грн.,"Сдам 2к квартиру, бул. Перова, до м.""Дарница"" ехать 15 мин",https://www.olx.ua/obyavlenie/sdam-2k-kvartiru-bul-perova-do-m-darnitsa-ehat-15-min-IDy1NF0.html#5f4869cfef
Сегодня 13:33,"Киев, Шевченковский",8 000 грн.,Аренда двухкомнатной квартиры,https://www.olx.ua/obyavlenie/arenda-dvuhkomnatnoy-kvartiry-IDBl579.html#5f4869cfef
Сегодня 13:29,"Киев, Днепровский",7 000 грн.,Сдам 2х.разд. Воскресенка ул.Кибальчича с помесячной оплатой,https://www.olx.ua/obyavlenie/sdam-2h-razd-voskresenka-ul-kibalchicha-s-pomesyachnoy-oplatoy-IDBl4RE.html#5f4869cfef
Сегодня 13:25,"Киев, Шевченковский",8 000 грн.,"Срочно 2к на ул.Артема,метро Лукьяновка 10мин,Майдан Независимости 15",https://www.olx.ua/obyavlenie/srochno-2k-na-ul-artema-metro-lukyanovka-10min-maydan-nezavisimosti-15-IDBgjex.html#5f4869cfef
Сегодня 13:23,"Киев, Святошинский",8 000 грн.,Срочно! сдается в аренду квартира Борщаговке,https://www.olx.ua/obyavlenie/srochno-sdaetsya-v-arendu-kvartira-borschagovke-IDBc10r.html#5f4869cfef
Сегодня 12:53,"Киев, Деснянский",8 000 грн.,Сдам 2х ком.квартиру первая сдача м.Лесная,https://www.olx.ua/obyavlenie/sdam-2h-kom-kvartiru-pervaya-sdacha-m-lesnaya-IDBl37Y.html#5f4869cfef
Сегодня 12:36,"Киев, Подольский",7 500 грн.,Сдаем 2 ком.квартира с раздельными комнатами и Бойлером на Виноградаре,https://www.olx.ua/obyavlenie/sdaem-2-kom-kvartira-s-razdelnymi-komnatami-i-boylerom-na-vinogradare-IDBl28G.html#5f4869cfef
Сегодня 12:16,"Киев, Деснянский",8 000 грн.,Аренда 2х комнатной просторной квартиры,https://www.olx.ua/obyavlenie/arenda-2h-komnatnoy-prostornoy-kvartiry-IDBl1rZ.html#5f4869cfef
Сегодня 12:04,"Киев, Святошинский",8 000 грн.,"Здам в довгострокову оренду 1-кімнатну квартиру у м.Києві ,Києво-Свято",https://www.olx.ua/obyavlenie/zdam-v-dovgostrokovu-orendu-1-kmnatnu-kvartiru-u-m-kiv-kivo-svyato-IDhPlls.html#5f4869cfef
Сегодня 11:35,"Киев, Печерский",7 000 грн.,Сдам 2 ком.квартиру Выдубичи Корчеватое Голосеевский,https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-vydubichi-korchevatoe-goloseevskiy-IDBkZpI.html#5f4869cfef
Сегодня 11:01,"Киев, Святошинский",8 000 грн.,"2ка.бул.Кольцова,скор.трамвай м.Святошин/Житомирская",https://www.olx.ua/obyavlenie/2ka-bul-koltsova-skor-tramvay-m-svyatoshin-zhitomirskaya-IDB7UrA.html#5f4869cfef
Сегодня 10:46,"Киев, Деснянский",7 800 грн.,"Уютная 2-х комнатная, первая сдача, долгосрочно",https://www.olx.ua/obyavlenie/uyutnaya-2-h-komnatnaya-pervaya-sdacha-dolgosrochno-IDAiWls.html#5f4869cfef;promoted
Сегодня 10:45,"Киев, Святошинский",8 000 грн.,"Раздельная квартира Борщаговка, Курбаса, метро Житомирская 10 мину",https://www.olx.ua/obyavlenie/razdelnaya-kvartira-borschagovka-kurbasa-metro-zhitomirskaya-10-minu-IDB7Zrk.html#5f4869cfef
Сегодня 10:02,"Киев, Деснянский",7 000 грн.,"СДАМ 2.х к.кв.СЕМЬЯМ С ДЕТ.метро Лесная,10мин.езды",https://www.olx.ua/obyavlenie/sdam-2-h-k-kv-semyam-s-det-metro-lesnaya-10min-ezdy-IDBkWxj.html#5f4869cfef
Сегодня 09:50,"Киев, Деснянский",8 000 грн.,"Трешка ,начало Троещины",https://www.olx.ua/obyavlenie/treshka-nachalo-troeschiny-IDBkWbd.html#5f4869cfef
Сегодня 09:45,"Киев, Днепровский",7 000 грн.,Сдам 2-х комнатную квартиру м Левобережная ул Вифлеемская (Шлихтера),https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-m-levoberezhnaya-ul-vifleemskaya-shlihtera-IDBj6nr.html#5f4869cfef;promoted
Сегодня 09:32,"Киев, Деснянский",7 000 грн.,Сдам двухкомнатную квартиру,https://www.olx.ua/obyavlenie/sdam-dvuhkomnatnuyu-kvartiru-IDBeqQf.html#5f4869cfef
Сегодня 09:26,"Киев, Голосеевский",7 000 грн.,"Теремки-2, ул.Смолича,6, 2-хкомн.кв-ра, евроремонт",https://www.olx.ua/obyavlenie/teremki-2-ul-smolicha-6-2-hkomn-kv-ra-evroremont-IDBkU4T.html#5f4869cfef
Сегодня 09:24,"Киев, Святошинский",8 000 грн.,Метро Академгордок пешком 10 мин.Раздельная двухкомнатная с капремонто,https://www.olx.ua/obyavlenie/metro-akademgordok-peshkom-10-min-razdelnaya-dvuhkomnatnaya-s-kapremonto-IDB8E5J.html#5f4869cfef
Сегодня 09:18,"Киев, Голосеевский",7 500 грн.,Двухкомнатная квартира в 5 минутах от метро,https://www.olx.ua/obyavlenie/dvuhkomnatnaya-kvartira-v-5-minutah-ot-metro-IDBjG1c.html#5f4869cfef;promoted
Сегодня 08:58,"Киев, Днепровский",7 000 грн.,"2-К Березняки Метро Осокорки Левобережная ул.Миколайчука,",https://www.olx.ua/obyavlenie/2-k-bereznyaki-metro-osokorki-levoberezhnaya-ul-mikolaychuka-IDBgSmv.html#5f4869cfef
Сегодня 08:56,"Киев, Деснянский",7 500 грн.,"Двух  комнатная  квартира, Драйзеа 6а",https://www.olx.ua/obyavlenie/dvuh-komnatnaya-kvartira-drayzea-6a-IDBgSjo.html#5f4869cfef
Сегодня 08:36,"Киев, Дарницкий",8 000 грн.,"Сдам 3К БЕЗ мебели,Метро Позняки.ул.Урловская,36",https://www.olx.ua/obyavlenie/sdam-3k-bez-mebeli-metro-poznyaki-ul-urlovskaya-36-IDBgRTY.html#5f4869cfef
Сегодня 07:55,"Киев, Подольский",7 000 грн.,Сдам 2-ком Виноградарь переулок Квитневый 5,https://www.olx.ua/obyavlenie/sdam-2-kom-vinogradar-pereulok-kvitnevyy-5-IDBkSuw.html#5f4869cfef
Сегодня 05:27,"Киев, Соломенский",7 500 грн.,Сдам 2-к. на Курской.Метро Вокзальная,https://www.olx.ua/obyavlenie/sdam-2-k-na-kurskoy-metro-vokzalnaya-IDBkROG.html#5f4869cfef
Сегодня 01:27,"Киев, Дарницкий",8 000 грн.,Квартира в аренду.,https://www.olx.ua/obyavlenie/kvartira-v-arendu-IDA7mvg.html#5f4869cfef
title,time,link,district,price
